DATA,LOTE,NOMESET,QTDE,REMESSA,SETOR,TALAO
2026-03-20,000001,ALMOXARIFADO,19,000003,001,00000201
2026-03-20,000001,ALMOXARIFADO,92,000002,001,00000101
2026-03-20,000001,ALMOXARIFADO,62,000001,001,00000001
2026-03-16,000001,EXPEDIÇÃO,20,000015,011,00001401
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001402
2026-03-16,000001,EXPEDIÇÃO,56,000015,011,00001403
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001404
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001405
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001406
2026-03-16,000001,EXPEDIÇÃO,9,000015,011,00001407
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001408
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001409
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001410
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001411
2026-03-16,000001,EXPEDIÇÃO,5,000015,011,00001412
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001413
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001414
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001415
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001416
2026-03-16,000001,EXPEDIÇÃO,13,000015,011,00001417
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001418
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001419
2026-03-16,000001,EXPEDIÇÃO,70,000015,011,00001420
2026-03-16,000001,EXPEDIÇÃO,120,000015,011,00001421
2026-03-16,000001,EXPEDIÇÃO,74,000015,011,00001422
2026-03-16,000001,EXPEDIÇÃO,53,000015,011,00001423
2026-03-16,000001,EXPEDIÇÃO,8,000018,011,00001701
2026-03-16,000001,EXPEDIÇÃO,15,000018,011,00001702
2026-03-16,000001,EXPEDIÇÃO,30,000018,011,00001703
2026-03-16,000001,EXPEDIÇÃO,40,000018,011,00001704
2026-03-16,000001,EXPEDIÇÃO,40,000018,011,00001705
2026-03-16,000001,EXPEDIÇÃO,30,000018,011,00001706
2026-03-16,000001,EXPEDIÇÃO,30,000018,011,00001707
2026-03-16,000001,EXPEDIÇÃO,42,000010,011,00000901
2026-03-16,000001,EXPEDIÇÃO,9,000011,011,00001001
2026-03-16,000001,EXPEDIÇÃO,90,000024,011,00002301
2026-03-16,000001,EXPEDIÇÃO,12,000009,011,00000801
2026-03-16,000001,EXPEDIÇÃO,96,000008,011,00000701
2026-03-16,000001,EXPEDIÇÃO,1,000006,011,00000501
2026-03-16,000001,EXPEDIÇÃO,15,000006,011,00000502
2026-03-16,000001,EXPEDIÇÃO,31,000006,011,00000503
2026-03-16,000001,EXPEDIÇÃO,51,000006,011,00000504
2026-03-16,000001,EXPEDIÇÃO,57,000006,011,00000505
2026-03-16,000001,EXPEDIÇÃO,39,000006,011,00000506
2026-03-16,000001,EXPEDIÇÃO,19,000006,011,00000507
2026-03-16,000001,EXPEDIÇÃO,4,000006,011,00000508
2026-03-16,000001,EXPEDIÇÃO,15,000023,011,00002201
2026-03-16,000001,EXPEDIÇÃO,15,000023,011,00002202
2026-03-16,000001,EXPEDIÇÃO,30,000023,011,00002203
2026-03-16,000001,EXPEDIÇÃO,30,000023,011,00002204
2026-03-16,000001,EXPEDIÇÃO,30,000023,011,00002205
2026-03-16,000001,EXPEDIÇÃO,15,000023,011,00002206
2026-03-16,000001,EXPEDIÇÃO,4,000005,011,00000401
2026-03-16,000001,EXPEDIÇÃO,23,000005,011,00000402
2026-03-16,000001,EXPEDIÇÃO,43,000005,011,00000403
2026-03-16,000001,EXPEDIÇÃO,61,000005,011,00000404
2026-03-16,000001,EXPEDIÇÃO,70,000005,011,00000405
2026-03-16,000001,EXPEDIÇÃO,45,000005,011,00000406
2026-03-16,000001,EXPEDIÇÃO,33,000005,011,00000407
2026-03-16,000001,EXPEDIÇÃO,7,000005,011,00000408
2026-03-16,000001,EXPEDIÇÃO,6,000022,011,00002101
2026-03-16,000001,EXPEDIÇÃO,62,000022,011,00002102
2026-03-16,000001,EXPEDIÇÃO,120,000022,011,00002103
2026-03-16,000001,EXPEDIÇÃO,120,000022,011,00002104
2026-03-16,000001,EXPEDIÇÃO,37,000022,011,00002105
2026-03-16,000001,EXPEDIÇÃO,120,000022,011,00002106
2026-03-16,000001,EXPEDIÇÃO,21,000022,011,00002107
2026-03-16,000001,EXPEDIÇÃO,85,000022,011,00002108
2026-03-16,000001,EXPEDIÇÃO,50,000022,011,00002109
2026-03-16,000001,EXPEDIÇÃO,11,000022,011,00002110
2026-03-17,000001,EXPEDIÇÃO,18,000012,011,00001101
2026-03-17,000001,EXPEDIÇÃO,17,000013,011,00001201
2026-03-17,000001,EXPEDIÇÃO,36,000013,011,00001202
2026-03-17,000001,EXPEDIÇÃO,54,000013,011,00001203
2026-03-17,000001,EXPEDIÇÃO,54,000013,011,00001204
2026-03-17,000001,EXPEDIÇÃO,32,000013,011,00001205
2026-03-17,000001,EXPEDIÇÃO,17,000013,011,00001206
2026-03-17,000001,EXPEDIÇÃO,11,000014,011,00001301
2026-03-17,000001,EXPEDIÇÃO,35,000014,011,00001302
2026-03-17,000001,EXPEDIÇÃO,50,000014,011,00001303
2026-03-17,000001,EXPEDIÇÃO,47,000014,011,00001304
2026-03-17,000001,EXPEDIÇÃO,26,000014,011,00001305
2026-03-17,000001,EXPEDIÇÃO,14,000014,011,00001306
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001501
2026-03-17,000001,EXPEDIÇÃO,7,000016,011,00001502
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001503
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001504
2026-03-17,000001,EXPEDIÇÃO,25,000016,011,00001505
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001506
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001507
2026-03-17,000001,EXPEDIÇÃO,117,000016,011,00001508
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001509
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001510
2026-03-17,000001,EXPEDIÇÃO,114,000016,011,00001511
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001512
2026-03-17,000001,EXPEDIÇÃO,97,000016,011,00001513
2026-03-17,000001,EXPEDIÇÃO,120,000016,011,00001514
2026-03-17,000001,EXPEDIÇÃO,6,000016,011,00001515
2026-03-17,000001,EXPEDIÇÃO,21,000017,011,00001601
2026-03-18,000001,EXPEDIÇÃO,50,000043,011,00004501
2026-03-18,000001,EXPEDIÇÃO,59,000043,011,00004502
2026-03-18,000001,EXPEDIÇÃO,109,000043,011,00004503
2026-03-18,000001,EXPEDIÇÃO,109,000043,011,00004504
2026-03-18,000001,EXPEDIÇÃO,59,000043,011,00004505
2026-03-18,000001,EXPEDIÇÃO,50,000043,011,00004506
2026-03-18,000001,EXPEDIÇÃO,2,000042,011,00004401
2026-03-18,000001,EXPEDIÇÃO,14,000042,011,00004402
2026-03-18,000001,EXPEDIÇÃO,23,000042,011,00004403
2026-03-18,000001,EXPEDIÇÃO,34,000042,011,00004404
2026-03-18,000001,EXPEDIÇÃO,39,000042,011,00004405
2026-03-18,000001,EXPEDIÇÃO,29,000042,011,00004406
2026-03-18,000001,EXPEDIÇÃO,19,000042,011,00004407
2026-03-18,000001,EXPEDIÇÃO,6,000042,011,00004408
2026-03-18,000001,EXPEDIÇÃO,36,000044,011,00004601
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002801
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002802
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002803
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002804
2026-03-18,000001,EXPEDIÇÃO,40,000027,011,00002805
2026-03-18,000001,EXPEDIÇÃO,30,000027,011,00002806
2026-03-18,000001,EXPEDIÇÃO,40,000027,011,00002807
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002808
2026-03-18,000001,EXPEDIÇÃO,20,000027,011,00002809
2026-03-18,000001,EXPEDIÇÃO,20,000027,011,00002810
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002811
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002812
2026-03-18,000001,EXPEDIÇÃO,10,000027,011,00002813
2026-03-18,000001,EXPEDIÇÃO,40,000028,011,00002901
2026-03-18,000001,EXPEDIÇÃO,60,000041,011,00004201
2026-03-18,000001,EXPEDIÇÃO,33,000041,011,00004301
2026-03-19,000001,EXPEDIÇÃO,60,000029,011,00003001
2026-03-19,000001,EXPEDIÇÃO,60,000030,011,00003101
2026-03-19,000001,EXPEDIÇÃO,60,000031,011,00003201
2026-03-19,000001,EXPEDIÇÃO,60,000032,011,00003301
2026-03-19,000001,EXPEDIÇÃO,45,000033,011,00003401
2026-03-19,000001,EXPEDIÇÃO,55,000034,011,00003501
2026-03-19,000001,EXPEDIÇÃO,50,000035,011,00003601
2026-03-19,000001,EXPEDIÇÃO,60,000036,011,00003701
